id,label,SLC10A2,OR2T10,NTS,SLC6A3,LINC00887,ENPP7P8,AL163636.1,SLC47A1P1,AC025627.1,TTC21B-AS1,AL109615.1,AP003465.2,AL109946.1,AC133637.1
TCGA-B0-5117-01A,0,0,0,0,0.018302549,0.006580025,0,0,0,0,0.02125721,0.058974209,0,0.01304575,0
TCGA-B2-3924-01A,0,2.863101912,0,0.589578024,5.652603283,3.228373725,1.640003,0.6486341,0.4921787,1.159668,4.758916,4.437897311,0,1.089547,0.05298718
TCGA-CZ-5988-01A,0,2.126511447,0.075262708,3.251136796,3.199084405,3.915919057,0.2482332,0.3993397,0.1857319,0.1418613,2.15382,1.183307626,0,0.9814467,0
TCGA-CJ-6028-01A,0,0.379588541,0,0.735464435,5.729997816,3.126477419,1.002689,1.01546,0.2748419,0.7238151,4.242663,1.606545563,0.2219667,2.417831,0.01928119
TCGA-BP-5169-01A,0,0.076993083,0,0.270089693,3.258472879,5.202372897,0.09803304,0.218385,0.06226481,0.1750299,2.710096,1.267381689,0,0.2930947,0.3581818
TCGA-BP-4161-01A,0,2.315598503,1.182378536,1.989351097,6.378055986,3.727586221,1.817283,0.4832467,0.6731348,1.972962,2.145324,2.322696911,0.2357875,0.8544103,0.175382
TCGA-CJ-4918-01A,0,0.298814791,0.958070063,1.261945953,1.031661735,3.604335817,0.02761809,0.5726502,0.05153885,0.2267436,5.299226,1.399618841,0.1698036,1.049632,0.01450388
TCGA-BP-4347-01A,0,2.277936501,0.122772339,0.507353404,7.632145433,2.414758369,0.7629632,0.3362671,0.1766055,1.088303,4.204743,1.946515967,0,1.086181,0.01114106
TCGA-B2-4099-01A,0,2.416376191,1.5792038,0.704841442,5.292498229,3.783299601,1.179618,0.9076811,0.8772377,0.8561583,2.34552,1.847916605,0.06977385,0.05015209,0.1005095
TCGA-CJ-4897-01A,0,3.555289046,0.446642531,0.65309384,6.330236682,4.13311052,1.308804,0.611915,0.4975886,1.120625,4.602476,1.36187214,0.08261343,0.6585444,0.02048765
TCGA-CJ-4902-01A,0,1.702862112,0.789707788,0.075930687,5.946993944,3.127814668,0.5782527,0.566408,0.8224899,2.287175,3.410083,4.734383306,0.08999807,1.389447,0.05526871
TCGA-B0-5690-01A,0,4.301515031,1.209958925,0.080613546,5.348347256,2.966568314,1.202405,0.527513,0.7870155,0.9670425,1.810768,1.695533048,0.6553379,0,0.03316751
TCGA-B0-5710-01A,0,2.619849957,0.393177484,0.848979391,4.436418128,3.494529443,0.2685458,0.4898565,0.504631,0.7137139,2.234835,0.685717266,0.5033783,0.02369409,0.01615178
TCGA-CJ-4899-01A,0,0.918751474,0.985369364,0.728150032,6.138996569,3.541763472,0.8974047,0.7569446,0.9073897,1.24119,2.669174,4.840184629,0,1.805939,0
TCGA-A3-A8OV-01A,0,2.13450969,0.36047518,0.037550788,6.768253499,3.617732744,0.9400529,0.9285176,0.7278869,1.830176,1.780977,5.984564737,0.286724,1.246943,0.01911741
TCGA-MW-A4EC-01A,0,3.075327051,0.638496215,0.017851795,6.303771145,3.847834686,1.555675,1.015098,0.478157,1.402917,2.015304,4.154444649,0,2.385214,0.0535143
TCGA-A3-3313-01A,0,6.848859241,0.116044949,0.07118469,0,0.652540606,0.435506,0.07382516,0.5157968,2.504856,0.06928274,0.186863591,0.05959311,0.03221239,0.01468989
TCGA-B2-5635-01A,0,3.636651755,1.795356877,0.252914291,6.490408498,2.917478951,1.079842,0.5308878,0.325758,1.310639,2.903875,2.756338627,0.2618069,0.8605537,0.02720077
TCGA-B0-5402-01A,0,3.12982507,0.838148098,0.2936672,6.560439323,4.948206707,2.883968,1.301376,1.146397,1.127655,4.230118,3.767651206,0.1385998,0.03420844,0.05767205
